contract,feature,IC,p_val,n
F,trade_vol_DTE15,0.402,0.284,9
F,moc_net_bid_DTE15,-0.117,0.765,9
F,bid_imbal_DTE15,-0.317,0.406,9
F,n_trades_DTE15,0.367,0.332,9
F,moc_vol_DTE15,0.402,0.284,9
F,vol_zscore_DTE15,0.402,0.284,9
F,trade_vol_DTE10,0.151,0.699,9
F,moc_net_bid_DTE10,-0.067,0.865,9
F,bid_imbal_DTE10,-0.1,0.798,9
F,n_trades_DTE10,0.151,0.699,9
F,moc_vol_DTE10,0.151,0.699,9
F,vol_zscore_DTE10,0.167,0.668,9
F,trade_vol_td7,0.367,0.332,9
F,moc_net_bid_td7,-0.067,0.865,9
F,bid_imbal_td7,-0.317,0.406,9
F,n_trades_td7,0.367,0.332,9
F,moc_vol_td7,0.367,0.332,9
F,vol_zscore_td7,0.367,0.332,9
F,trade_vol_DTE5,0.217,0.576,9
F,moc_net_bid_DTE5,0.067,0.864,9
F,bid_imbal_DTE5,-0.8,0.01,9
F,n_trades_DTE5,0.217,0.576,9
F,moc_vol_DTE5,0.217,0.576,9
F,vol_zscore_DTE5,0.217,0.576,9
F,trade_vol_DTE3,-0.25,0.516,9
F,moc_net_bid_DTE3,0.301,0.431,9
F,bid_imbal_DTE3,-0.567,0.112,9
F,n_trades_DTE3,-0.2,0.606,9
F,moc_vol_DTE3,-0.25,0.516,9
F,vol_zscore_DTE3,-0.267,0.488,9
F,bid_imbal_td7_to_dte3,-0.133,0.732,9
F,moc_net_hold,-0.05,0.898,9
F,trade_vol_hold,0.333,0.381,9
F,n_days_buy_dom,-0.329,0.387,9
F,n_days_sell_dom,-0.439,0.237,9
G,trade_vol_DTE15,-0.092,0.814,9
G,moc_net_bid_DTE15,-0.042,0.915,9
G,bid_imbal_DTE15,-0.333,0.381,9
G,n_trades_DTE15,-0.092,0.814,9
G,moc_vol_DTE15,-0.092,0.814,9
G,vol_zscore_DTE15,-0.092,0.814,9
G,trade_vol_DTE10,0.552,0.123,9
G,moc_net_bid_DTE10,0.0,1.0,9
G,bid_imbal_DTE10,-0.417,0.265,9
G,n_trades_DTE10,0.552,0.123,9
G,moc_vol_DTE10,0.552,0.123,9
G,vol_zscore_DTE10,0.552,0.123,9
G,trade_vol_td7,-0.092,0.813,9
G,moc_net_bid_td7,-0.134,0.731,9
G,bid_imbal_td7,-0.25,0.516,9
G,n_trades_td7,-0.092,0.813,9
G,moc_vol_td7,-0.092,0.813,9
G,vol_zscore_td7,-0.075,0.847,9
G,trade_vol_DTE5,0.269,0.484,9
G,moc_net_bid_DTE5,0.042,0.915,9
G,bid_imbal_DTE5,-0.667,0.05,9
G,n_trades_DTE5,0.269,0.484,9
G,moc_vol_DTE5,0.075,0.847,9
G,vol_zscore_DTE5,0.269,0.484,9
G,trade_vol_DTE3,0.483,0.187,9
G,moc_net_bid_DTE3,0.328,0.389,9
G,bid_imbal_DTE3,-0.433,0.244,9
G,n_trades_DTE3,0.46,0.213,9
G,moc_vol_DTE3,0.254,0.509,9
G,vol_zscore_DTE3,0.483,0.187,9
G,bid_imbal_td7_to_dte3,-0.5,0.17,9
G,moc_net_hold,0.167,0.668,9
G,trade_vol_hold,0.35,0.356,9
G,n_days_buy_dom,0.205,0.596,9
G,n_days_sell_dom,0.008,0.983,9
H,trade_vol_DTE15,-0.8,0.005,10
H,moc_net_bid_DTE15,-0.788,0.007,10
H,bid_imbal_DTE15,0.347,0.327,10
H,n_trades_DTE15,-0.8,0.005,10
H,moc_vol_DTE15,-0.8,0.005,10
H,vol_zscore_DTE15,-0.799,0.006,10
H,trade_vol_DTE10,-0.65,0.042,10
H,moc_net_bid_DTE10,-0.188,0.602,10
H,bid_imbal_DTE10,0.134,0.713,10
H,n_trades_DTE10,-0.65,0.042,10
H,moc_vol_DTE10,-0.65,0.042,10
H,vol_zscore_DTE10,-0.65,0.042,10
H,trade_vol_td7,-0.677,0.032,10
H,moc_net_bid_td7,-0.64,0.046,10
H,bid_imbal_td7,0.176,0.626,10
H,n_trades_td7,-0.799,0.006,10
H,moc_vol_td7,-0.677,0.032,10
H,vol_zscore_td7,-0.64,0.046,10
H,trade_vol_DTE5,0.543,0.105,10
H,moc_net_bid_DTE5,0.778,0.008,10
H,bid_imbal_DTE5,-0.103,0.776,10
H,n_trades_DTE5,0.744,0.014,10
H,moc_vol_DTE5,0.543,0.105,10
H,vol_zscore_DTE5,0.571,0.084,10
H,trade_vol_DTE3,-0.655,0.04,10
H,moc_net_bid_DTE3,0.317,0.372,10
H,bid_imbal_DTE3,0.03,0.934,10
H,n_trades_DTE3,-0.655,0.04,10
H,moc_vol_DTE3,-0.655,0.04,10
H,vol_zscore_DTE3,-0.655,0.04,10
H,bid_imbal_td7_to_dte3,0.073,0.841,10
H,moc_net_hold,-0.182,0.614,10
H,trade_vol_hold,-0.717,0.02,10
H,n_days_buy_dom,-0.087,0.812,10
H,n_days_sell_dom,0.07,0.847,10
J,trade_vol_DTE15,-0.252,0.482,10
J,moc_net_bid_DTE15,0.213,0.555,10
J,bid_imbal_DTE15,-0.297,0.405,10
J,n_trades_DTE15,-0.318,0.37,10
J,moc_vol_DTE15,-0.252,0.482,10
J,vol_zscore_DTE15,-0.274,0.444,10
J,trade_vol_DTE10,-0.085,0.815,10
J,moc_net_bid_DTE10,0.295,0.407,10
J,bid_imbal_DTE10,-0.442,0.2,10
J,n_trades_DTE10,-0.146,0.688,10
J,moc_vol_DTE10,-0.085,0.815,10
J,vol_zscore_DTE10,-0.085,0.815,10
J,trade_vol_td7,0.598,0.068,10
J,moc_net_bid_td7,-0.085,0.815,10
J,bid_imbal_td7,-0.43,0.214,10
J,n_trades_td7,0.598,0.068,10
J,moc_vol_td7,0.598,0.068,10
J,vol_zscore_td7,0.564,0.09,10
J,trade_vol_DTE5,-0.067,0.855,10
J,moc_net_bid_DTE5,0.396,0.257,10
J,bid_imbal_DTE5,0.224,0.533,10
J,n_trades_DTE5,-0.067,0.855,10
J,moc_vol_DTE5,-0.067,0.855,10
J,vol_zscore_DTE5,-0.067,0.855,10
J,trade_vol_DTE3,-0.006,0.987,10
J,moc_net_bid_DTE3,0.097,0.789,10
J,bid_imbal_DTE3,0.467,0.174,10
J,n_trades_DTE3,-0.006,0.987,10
J,moc_vol_DTE3,-0.006,0.987,10
J,vol_zscore_DTE3,-0.006,0.987,10
J,bid_imbal_td7_to_dte3,0.455,0.187,10
J,moc_net_hold,0.152,0.676,10
J,trade_vol_hold,-0.146,0.688,10
J,n_days_buy_dom,-0.605,0.064,10
J,n_days_sell_dom,0.068,0.851,10
K,trade_vol_DTE15,0.015,0.967,10
K,moc_net_bid_DTE15,-0.445,0.197,10
K,bid_imbal_DTE15,0.243,0.498,10
K,n_trades_DTE15,0.015,0.967,10
K,moc_vol_DTE15,0.015,0.967,10
K,vol_zscore_DTE15,0.006,0.987,10
K,trade_vol_DTE10,-0.293,0.412,10
K,moc_net_bid_DTE10,-0.723,0.018,10
K,bid_imbal_DTE10,-0.176,0.626,10
K,n_trades_DTE10,-0.219,0.544,10
K,moc_vol_DTE10,-0.293,0.412,10
K,vol_zscore_DTE10,-0.286,0.424,10
K,trade_vol_td7,-0.119,0.744,10
K,moc_net_bid_td7,-0.261,0.466,10
K,bid_imbal_td7,0.498,0.143,10
K,n_trades_td7,-0.119,0.744,10
K,moc_vol_td7,-0.119,0.744,10
K,vol_zscore_td7,-0.128,0.725,10
K,trade_vol_DTE5,-0.009,0.98,10
K,moc_net_bid_DTE5,-0.187,0.606,10
K,bid_imbal_DTE5,-0.079,0.828,10
K,n_trades_DTE5,0.025,0.946,10
K,moc_vol_DTE5,-0.076,0.834,10
K,vol_zscore_DTE5,0.021,0.953,10
K,trade_vol_DTE3,-0.018,0.96,10
